what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398086849052
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1398086849063
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1398086851296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398086852124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398086852276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398086852529
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1398086909216
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1398086909236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398086909375
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1398086909400
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398086916012
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1398086916012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398086942405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398086979770
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1398086981216
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1398086982412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398086994391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398087010529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398087024130
